Date,Close
2-Jan-2018,181.42
3-Jan-2018,184.67
4-Jan-2018,184.33
5-Jan-2018,186.85
8-Jan-2018,188.28
9-Jan-2018,187.87
10-Jan-2018,187.84
11-Jan-2018,187.77
12-Jan-2018,179.37
16-Jan-2018,178.39
17-Jan-2018,177.6
18-Jan-2018,179.8
19-Jan-2018,181.29
22-Jan-2018,185.37
23-Jan-2018,189.35
24-Jan-2018,186.55
25-Jan-2018,187.48
26-Jan-2018,190
29-Jan-2018,185.98
30-Jan-2018,187.12
31-Jan-2018,186.89
1-Feb-2018,193.09
2-Feb-2018,190.28
5-Feb-2018,181.26
6-Feb-2018,185.31
7-Feb-2018,180.18
8-Feb-2018,171.58
9-Feb-2018,176.11
12-Feb-2018,176.41
13-Feb-2018,173.15
14-Feb-2018,179.52
15-Feb-2018,179.96
16-Feb-2018,177.36
20-Feb-2018,176.01
21-Feb-2018,177.91
22-Feb-2018,178.99
23-Feb-2018,183.29
26-Feb-2018,184.93
27-Feb-2018,181.46
28-Feb-2018,178.32
1-Mar-2018,175.94
2-Mar-2018,176.62
5-Mar-2018,180.4
6-Mar-2018,179.78
7-Mar-2018,183.71
8-Mar-2018,182.34
9-Mar-2018,185.23
12-Mar-2018,184.76
13-Mar-2018,181.88
14-Mar-2018,184.19
15-Mar-2018,183.86
16-Mar-2018,185.09
19-Mar-2018,172.56
20-Mar-2018,168.15
21-Mar-2018,169.39
22-Mar-2018,164.89
23-Mar-2018,159.39
26-Mar-2018,160.06
27-Mar-2018,152.22
28-Mar-2018,153.03
29-Mar-2018,159.79
2-Apr-2018,155.39
3-Apr-2018,156.11
4-Apr-2018,155.1
5-Apr-2018,159.34
6-Apr-2018,157.2
9-Apr-2018,157.93
10-Apr-2018,165.04
11-Apr-2018,166.32
12-Apr-2018,163.87
13-Apr-2018,164.52
16-Apr-2018,164.83
17-Apr-2018,168.66
18-Apr-2018,166.36
19-Apr-2018,168.1
20-Apr-2018,166.28
23-Apr-2018,165.84
24-Apr-2018,159.69
25-Apr-2018,159.69
26-Apr-2018,174.16
27-Apr-2018,173.59
30-Apr-2018,172
1-May-2018,173.86
2-May-2018,176.07
3-May-2018,174.02
4-May-2018,176.61
7-May-2018,177.97
8-May-2018,178.92
9-May-2018,182.66
10-May-2018,185.53
11-May-2018,186.99
14-May-2018,186.64
15-May-2018,184.32
16-May-2018,183.2
17-May-2018,183.76
18-May-2018,182.68
21-May-2018,184.49
22-May-2018,183.8
23-May-2018,186.9
24-May-2018,185.93
25-May-2018,184.92
29-May-2018,185.74
30-May-2018,187.67
31-May-2018,191.78
1-Jun-2018,193.99
4-Jun-2018,193.28
5-Jun-2018,192.94
6-Jun-2018,191.34
7-Jun-2018,188.18
8-Jun-2018,189.1
11-Jun-2018,191.54
12-Jun-2018,192.4
13-Jun-2018,192.41
14-Jun-2018,196.81
15-Jun-2018,195.85
18-Jun-2018,198.31
19-Jun-2018,197.49
20-Jun-2018,202
21-Jun-2018,201.5
22-Jun-2018,201.74
25-Jun-2018,196.35
26-Jun-2018,199
27-Jun-2018,195.84
28-Jun-2018,196.23
29-Jun-2018,194.32
2-Jul-2018,197.36
3-Jul-2018,192.73
5-Jul-2018,198.45
6-Jul-2018,203.23
9-Jul-2018,204.74
10-Jul-2018,203.54
11-Jul-2018,202.54
12-Jul-2018,206.92
13-Jul-2018,207.32
16-Jul-2018,207.23
17-Jul-2018,209.99
18-Jul-2018,209.36
19-Jul-2018,208.09
20-Jul-2018,209.94
23-Jul-2018,210.91
24-Jul-2018,214.67
25-Jul-2018,217.5
26-Jul-2018,176.26
27-Jul-2018,174.89
30-Jul-2018,171.06
31-Jul-2018,172.58
1-Aug-2018,171.65
2-Aug-2018,176.37
3-Aug-2018,177.78
6-Aug-2018,185.69
7-Aug-2018,183.81
8-Aug-2018,185.18
9-Aug-2018,183.09
10-Aug-2018,180.26
13-Aug-2018,180.05
14-Aug-2018,181.11
15-Aug-2018,179.53
16-Aug-2018,174.7
17-Aug-2018,173.8
20-Aug-2018,172.5
21-Aug-2018,172.62
22-Aug-2018,173.64
23-Aug-2018,172.9
24-Aug-2018,174.65
27-Aug-2018,177.46
28-Aug-2018,176.26
29-Aug-2018,175.9
30-Aug-2018,177.64
31-Aug-2018,175.73
4-Sep-2018,171.16
5-Sep-2018,167.18
6-Sep-2018,162.53
7-Sep-2018,163.04
10-Sep-2018,164.18
11-Sep-2018,165.94
12-Sep-2018,162
13-Sep-2018,161.36
14-Sep-2018,162.32
17-Sep-2018,160.58
18-Sep-2018,160.3
19-Sep-2018,163.06
20-Sep-2018,166.02
21-Sep-2018,162.93
24-Sep-2018,165.41
25-Sep-2018,164.91
26-Sep-2018,166.95
27-Sep-2018,168.84
28-Sep-2018,164.46
1-Oct-2018,162.44
2-Oct-2018,159.33
3-Oct-2018,162.43
4-Oct-2018,158.85
5-Oct-2018,157.33
8-Oct-2018,157.25
9-Oct-2018,157.9
10-Oct-2018,151.38
11-Oct-2018,153.35
12-Oct-2018,153.74
15-Oct-2018,153.52
16-Oct-2018,158.78
17-Oct-2018,159.42
18-Oct-2018,154.92
19-Oct-2018,154.05
22-Oct-2018,154.78
23-Oct-2018,154.39
24-Oct-2018,146.04
25-Oct-2018,150.95
26-Oct-2018,145.37
29-Oct-2018,142.09
30-Oct-2018,146.22
31-Oct-2018,151.79
1-Nov-2018,151.75
2-Nov-2018,150.35
5-Nov-2018,148.68
6-Nov-2018,149.94
7-Nov-2018,151.53
8-Nov-2018,147.87
9-Nov-2018,144.96
12-Nov-2018,141.55
13-Nov-2018,142.16
14-Nov-2018,144.22
15-Nov-2018,143.85
16-Nov-2018,139.53
19-Nov-2018,131.55
20-Nov-2018,132.43
21-Nov-2018,134.82
23-Nov-2018,131.73
26-Nov-2018,136.38
27-Nov-2018,135
28-Nov-2018,136.76
29-Nov-2018,138.68
30-Nov-2018,140.61
3-Dec-2018,141.09
4-Dec-2018,137.93
6-Dec-2018,139.63
7-Dec-2018,137.42
10-Dec-2018,141.85
11-Dec-2018,142.08
12-Dec-2018,144.5
13-Dec-2018,145.01
14-Dec-2018,144.06
17-Dec-2018,140.19
18-Dec-2018,143.66
19-Dec-2018,133.24
20-Dec-2018,133.4
21-Dec-2018,124.95
24-Dec-2018,124.06
26-Dec-2018,134.18
27-Dec-2018,134.52
28-Dec-2018,133.2
31-Dec-2018,131.09
